driver_id,vendor_id,date,online,offline,createdAt
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-10,06:47:55.065Z,,2017-12-10T06:47:55.066Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-10,06:55:04.728Z,,2017-12-10T06:55:04.728Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-10,07:24:05.748Z,,2017-12-10T07:24:05.748Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,04:27:36.625Z,,2017-12-11T04:27:36.626Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,04:28:56.230Z,,2017-12-11T04:28:56.231Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,05:06:37.367Z,,2017-12-11T05:06:37.367Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,05:13:55.396Z,,2017-12-11T05:13:55.396Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,06:22:54.348Z,,2017-12-11T06:22:54.349Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,06:59:03.505Z,,2017-12-11T06:59:03.505Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,07:36:37.393Z,,2017-12-11T07:36:37.393Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,07:55:10.174Z,,2017-12-11T07:55:10.175Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,07:55:13.708Z,,2017-12-11T07:55:13.708Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,08:01:02.186Z,,2017-12-11T08:01:02.186Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,08:03:54.709Z,,2017-12-11T08:03:54.709Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,08:56:32.691Z,,2017-12-11T08:56:32.692Z
